Type                                  Module                      Label             Process   
vector<pat::PackedCandidate>          "packedPFCandidates"        ""                "RECO"    
vector<pat::PackedCandidate>          "lostTracks"                "eleTracks"       "RECO"    
vector<pat::Photon>                   "slimmedOOTPhotons"         ""                "RECO"    
vector<pat::Photon>                   "slimmedPhotons"            ""                "RECO"    
vector<pat::Tau>                      "slimmedTaus"               ""                "RECO"    
vector<pat::Tau>                      "slimmedTausBoosted"        ""                "RECO"    
vector<pat::TriggerObjectStandAlone>    "slimmedPatTrigger"         ""                "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTEBEEClusters"   "RECO"    
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTESClusters"   "RECO"    
vector<reco::CaloJet>                 "slimmedCaloJets"           ""                "RECO"    
vector<reco::CaloJet>                 "slimmedJPTJets"            ""                "RECO"    
vector<reco::Conversion>              "gsfTracksOpenConversions"   "gsfTracksOpenConversions"   "RECO"    
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "RECO"    
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "RECO"    
vector<reco::DeDxHitInfo>             "isolatedTracks"            ""                "RECO"    
vector<reco::ForwardProton>           "ctppsProtons"              "multiRP"         "RECO"    
vector<reco::ForwardProton>           "ctppsProtons"              "singleRP"        "RECO"    
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "RECO"    
vector<reco::GsfTrack>                "reducedEgamma"             "reducedGsfTracks"   "RECO"    
vector<reco::JPTJet>                  "slimmedJPTJets"            ""                "RECO"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "RECO"    
vector<reco::PhotonCore>              "reducedEgamma"             "reducedOOTPhotonCores"   "RECO"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedOOTSuperClusters"   "RECO"    
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "RECO"    
vector<reco::Track>                   "displacedGlobalMuons"      ""                "RECO"    
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "RECO"    
vector<reco::Track>                   "displacedTracks"           ""                "RECO"    
vector<reco::TrackExtra>              "slimmedDisplacedMuonTrackExtras"   ""                "RECO"    
vector<reco::TrackExtra>              "slimmedMuonTrackExtras"    ""                "RECO"    
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "RECO"    
vector<reco::Vertex>                  "offlineSlimmedPrimaryVerticesWithBS"   ""                "RECO"    
vector<reco::VertexCompositePtrCandidate>    "slimmedKshortVertices"     ""                "RECO"    
vector<reco::VertexCompositePtrCandidate>    "slimmedLambdaVertices"     ""                "RECO"    
vector<reco::VertexCompositePtrCandidate>    "slimmedSecondaryVertices"   ""                "RECO"    
vector<string>                        "slimmedPatTrigger"         "filterLabels"    "RECO"    
unsigned int                          "bunchSpacingProducer"      ""                "RECO"    
